Avg_dep_rejected,Total_pending_deposit,Amt_approved_deposit,Avg_dep_per_day,Total_rejected_WD,Nr_days_without_activity,Fraud
231.0,3266.0,29271.0,2.0,210.0,3435.0,0
10.0,131.0,1457.0,1.0,210.0,1000.0,0
106.0,3296.0,4382.0,1.0,3775.0,2287.0,0
45.0,705.0,23057.0,1.0,2560.0,899.0,0
369.0,1139.0,12782.0,1.0,786.0,1337.0,0
426.0,945.0,10703.0,0.0,1122.0,626.0,0
59.0,2701.0,34734.0,1.0,639.0,3213.0,0
116.0,202.0,11476.0,1.0,2980.0,80.0,0
295.0,3630.0,7021.0,1.0,1645.0,3469.0,0
208.0,450.0,31789.0,1.0,542.0,720.0,0
357.0,951.0,14523.0,0.0,649.0,2011.0,0
487.0,3765.0,39379.0,2.0,7192.0,3665.0,0
80.0,1450.0,14407.0,2.0,2345.0,2063.0,0
362.0,2227.0,5766.0,1.0,896.0,2269.0,0
178.0,1545.0,38689.0,0.0,1325.0,1215.0,0
118.0,3677.0,39379.0,1.0,6030.0,2722.0,0
487.0,859.0,21475.0,0.0,2964.0,2211.0,0
46.0,1676.0,11870.0,1.0,761.0,1949.0,0
190.0,1075.0,5765.0,1.0,1793.0,2473.0,0
62.0,1426.0,18373.0,0.0,1567.0,439.0,0
84.0,2574.0,31346.0,1.0,5354.0,869.0,0
358.0,350.0,13001.0,0.0,4346.0,2467.0,0
82.0,2420.0,38215.0,1.0,210.0,1013.0,0
53.0,2695.0,28250.0,1.0,604.0,172.0,0
284.0,1257.0,4555.0,1.0,7192.0,907.0,0
336.0,131.0,7144.0,1.0,5009.0,2291.0,0
311.0,234.0,10437.0,1.0,1252.0,3641.0,0
298.0,1497.0,17755.0,1.0,2228.0,3301.0,0
177.0,3167.0,38134.0,0.0,697.0,1773.0,0
34.0,248.0,19534.0,1.0,1997.0,269.0,0
153.0,862.0,39379.0,0.0,3793.0,858.0,0
140.0,1074.0,10327.0,0.0,987.0,525.0,0
236.0,182.0,5841.0,0.0,797.0,1595.0,0
221.0,1165.0,8921.0,1.0,1700.0,582.0,0
242.0,433.0,1457.0,1.0,3350.0,348.0,0
432.0,2041.0,39379.0,1.0,5401.0,2838.0,0
39.0,732.0,15727.0,0.0,4652.0,2427.0,0
79.0,2713.0,39379.0,1.0,1196.0,976.0,0
276.0,2631.0,24381.0,1.0,598.0,80.0,0
363.0,625.0,30278.0,1.0,2305.0,1268.0,0
20.0,359.0,3562.0,1.0,1603.0,799.0,0
311.0,1806.0,32675.0,0.0,898.0,2957.0,0
119.0,307.0,23697.0,2.0,3011.0,2346.0,0
452.0,447.0,39379.0,2.0,2924.0,619.0,0
10.0,474.0,27028.0,0.0,1164.0,3665.0,0
225.0,1232.0,14203.0,0.0,454.0,428.0,0
161.0,2108.0,25284.0,0.0,952.0,3378.0,0
202.0,1552.0,26861.0,1.0,1819.0,1140.0,0
460.0,965.0,31414.0,1.0,4237.0,567.0,0
190.0,265.0,2161.0,1.0,2105.0,457.0,0
38.0,3765.0,36913.0,1.0,6005.0,1059.0,0
178.0,1010.0,39379.0,0.0,2102.0,2066.0,0
117.0,1231.0,12666.0,1.0,909.0,3268.0,0
487.0,2815.0,22858.0,1.0,1473.0,2247.0,0
148.0,1100.0,8977.0,1.0,711.0,161.0,0
49.0,981.0,14407.0,1.0,5539.0,2043.0,0
98.0,1597.0,13170.0,1.0,1762.0,555.0,0
284.0,2555.0,39379.0,1.0,1828.0,342.0,0
166.0,3765.0,25621.0,1.0,1769.0,1393.0,0
143.0,2245.0,39379.0,0.0,5709.0,2720.0,0
36.0,923.0,29205.0,1.0,210.0,1395.0,0
322.0,2875.0,30777.0,1.0,7192.0,960.0,0
10.0,377.0,10574.0,0.0,1449.0,1440.0,0
487.0,1950.0,1457.0,0.0,1863.0,80.0,0
267.0,822.0,11515.0,0.0,684.0,526.0,0
40.0,3616.0,5285.0,2.0,7192.0,3197.0,0
13.0,1011.0,17923.0,0.0,1305.0,1648.0,0
487.0,1384.0,34588.0,1.0,705.0,1894.0,0
128.0,3679.0,39379.0,1.0,262.0,80.0,0
29.0,487.0,20282.0,2.0,1712.0,198.0,0
106.0,1710.0,12526.0,1.0,2856.0,3665.0,0
318.0,556.0,11482.0,1.0,2452.0,1373.0,0
79.0,3765.0,13434.0,2.0,4912.0,2654.0,0
102.0,1513.0,1468.0,0.0,5029.0,376.0,0
129.0,2421.0,19953.0,2.0,3516.0,2489.0,0
336.0,1651.0,27710.0,1.0,6482.0,2135.0,0
241.0,2016.0,39379.0,1.0,730.0,80.0,0
450.0,3154.0,26386.0,2.0,210.0,1515.0,0
372.0,1236.0,35020.0,1.0,4878.0,170.0,0
367.0,3765.0,9964.0,1.0,5033.0,88.0,0
162.0,1060.0,11033.0,2.0,470.0,417.0,0
297.0,1213.0,12747.0,1.0,3706.0,2182.0,0
155.0,133.0,5063.0,1.0,2223.0,1608.0,0
84.0,134.0,39379.0,0.0,1703.0,1643.0,0
163.0,298.0,3039.0,1.0,210.0,2059.0,0
205.0,1100.0,17160.0,1.0,3735.0,785.0,0
41.0,440.0,29171.0,1.0,2940.0,2365.0,0
29.0,1583.0,19619.0,0.0,3488.0,2366.0,0
88.0,667.0,10170.0,1.0,6529.0,3665.0,0
50.0,880.0,5410.0,1.0,4617.0,3602.0,0
61.0,2381.0,8430.0,1.0,2471.0,1370.0,0
175.0,1643.0,16297.0,1.0,385.0,2510.0,0
466.0,2038.0,29192.0,0.0,3677.0,1343.0,0
10.0,131.0,16565.0,1.0,210.0,80.0,0
10.0,131.0,1457.0,1.0,210.0,80.0,0
233.0,892.0,34626.0,1.0,1958.0,931.0,0
73.0,1582.0,36158.0,1.0,433.0,2706.0,0
487.0,375.0,27713.0,1.0,3865.0,2397.0,0
159.0,511.0,35360.0,2.0,1267.0,2143.0,0
10.0,2961.0,39185.0,0.0,1332.0,691.0,0
203.0,352.0,2275.0,0.0,1687.0,1711.0,0
131.0,1295.0,34904.0,2.0,1316.0,421.0,0
364.0,1403.0,7038.0,1.0,4880.0,312.0,0
394.0,131.0,5072.0,0.0,6131.0,2406.0,0
55.0,1008.0,23167.0,1.0,210.0,2034.0,0
238.0,1399.0,23189.0,1.0,525.0,2061.0,0
32.0,387.0,16312.0,1.0,918.0,552.0,0
487.0,2176.0,37641.0,1.0,1818.0,378.0,0
106.0,1596.0,39379.0,0.0,5962.0,350.0,0
473.0,2211.0,22336.0,0.0,686.0,683.0,0
228.0,1328.0,24345.0,2.0,658.0,2747.0,0
361.0,2469.0,12391.0,1.0,2326.0,830.0,0
306.0,131.0,10857.0,1.0,1746.0,80.0,0
275.0,3765.0,23053.0,2.0,874.0,631.0,0
10.0,844.0,13186.0,1.0,4480.0,846.0,0
288.0,2515.0,6004.0,1.0,3142.0,1190.0,0
28.0,131.0,33118.0,0.0,5157.0,80.0,0
224.0,882.0,3295.0,0.0,2083.0,2039.0,0
10.0,131.0,1457.0,2.0,210.0,80.0,0
351.0,855.0,7920.0,1.0,3316.0,2345.0,0
10.0,1236.0,26658.0,1.0,7192.0,1694.0,0
352.0,1171.0,15215.0,0.0,3861.0,772.0,0
